Nom_Commercial,DCI,Dosage,Prix_DZD
RESTILON,"RIVASTIGMINE TARTRATE EXPRIME EN
RIVASTIGMINE",2MG/ML,0.0
GRIPEX ALLERGIE,"CETIRIZINE
DICHLORHYDRATE",10MG,0.0
RHITENE,"CETIRIZINE
DICHLORHYDRATE",10MG,0.0
ARTIZ,CETIRIZINE DICHLORHYDRATE,10MG,0.0
HISTARIZINE,"CETIRIZINE
DICHLORHYDRATE",10MG,0.0
ZYRTIRIZINE,"CETIRIZINE
DICHLORHYDRATE",10MG,0.0
ZYTREX,"CETIRIZINE
DICHLORHYDRATE",10MG,0.0
"CETIRIZINE
MYLAN","CETIRIZINE
DICHLORHYDRATE",10MG,0.0
NADEC,CETIRIZINE DICHLORHYDRATE,10MG,0.0
"CETIRIZINE
PHYSIOPHARM","CETIRIZINE
DICHLORHYDRATE",10MG,0.0
HISTAGAN,DEXCHLORPHENIRAMIN E MALEATE,2MG,0.0
FENIRAMINE,DEXCHLORPHENIRAMIN E MALEATE,"0,5 MG/5ML
(0,01%)",0.0
DEXCHLORPHENIR AMINE AFRO,DEXCHLORPHENIRAMIN E MALEATE,"0,5MG/5ML",0.0
DORAMINE,"DEXCHLORPHENIRAMIN
E MALEATE","0,5MG/5ML",0.0
HISTAGAN,DEXCHLORPHENIRAMIN E MALEATE EXPRIME EN DEXCHLORPHENIRAMIN E,"0,5MG/5ML(0,01
%)",0.0
GENARITYNE,"DEXCHLORPHENIRAMIN
E MALEATE","0,5MG/5ML(0,01
%)",0.0
HISTONE,"DEXCHLORPHENIRAMIN
E MALEATE","0,5MG/5ML",0.0
DOMSTAL,"DOXYLAMINE
SUCCINATE","6,25MG/5ML",0.0
SULAMINE,DOXYLAMINE SUCCINATE,"6,25MG/5ML",0.0
NATAZINE,MEQUITAZINE,5MG,0.0
PRIMALAN,MEQUITAZINE,5MG,0.0
PRANOK,"PROMETHAZINE CHLORHYDRATE EXPRIME EN
PROMETHAZINE",50MG/02ML,0.0
PRIMALAN,MEQUITAZINE,"1,25MG/2,5ML",0.0
GELARTINE,LORATADINE,10MG,0.0
LUTEDINE,LORATADINE,10MG,0.0
RITADOLE,LORATADINE,10MG,0.0
LORATAN,LORATADINE,10MG,0.0
ORIN,LORATADINE,10MG,0.0
RESTAMINE,LORATADINE,10MG,0.0
"LORATADINE
BEKER",LORATADINE,10MG,0.0
AKARYD,LORATADINE,10MG,0.0
NEOTADINE,LORATADINE,10MG,0.0
"LORATADINE
NOVAGENERICS",LORATADINE,10MG,0.0
LORADINE,LORATADINE,10MG,0.0
ALLERTINE,LORATADINE,10MG,0.0
TIRLOR,LORATADINE,10MG,0.0
LORATAL,LORATADINE,10MG,0.0
APILOR,LORATADINE,10MG,0.0
GELARTINE,LORATADINE,1MG/ML,0.0
ORIN,LORATADINE,1MG/ML,0.0
RESTAMINE,LORATADINE,1MG/ML,0.0
HOCINOR,LORATADINE,1MG/ML,0.0
ALLERTINE,LORATADINE,1MG/ML,0.0
CLARDINE,LORATADINE,1MG/ML,0.0
CLARADINE,LORATADINE,1MG/ML,0.0
LORATADINE,LORATADINE,1MG/ML,0.0
"FEXOFENADINE
BEKER","Fexofenadine
chlorhydrate",120MG,0.0
FEXODINE,Fexofenadine chlorhydrate,120MG,0.0
